horizon_sessions,observed_mean_drift,placebo_mean,placebo_sd,placebo_p2.5,placebo_p97.5,outside_placebo_95,p_value_vs_placebo,n_replications
1,0.006513942757553334,-9.836338878626979e-05,0.002639332472019152,-0.005155758984580146,0.0053232811880049285,True,0.014,2000
3,0.010528870814224964,0.00015584599657604632,0.004548979966026203,-0.008637236626268608,0.009207717034030371,True,0.0255,2000
5,0.0137341645507058,7.954882236443824e-05,0.0061566101907116816,-0.012074499147864865,0.011816539724047979,True,0.0275,2000
10,0.021105107765530106,0.0020207009285652237,0.01027930014657394,-0.017846242334063095,0.02303344147318291,False,0.063,2000
20,0.017976210272429592,0.0006347143377481969,0.01582113765712538,-0.03055829705108926,0.031004014110460994,False,0.262,2000
