cluster_window_hours,n_events,filings_per_event,n_earnings_events,kw_p,kw_epsilon_sq,median_abs_r60_results,median_vol_ratio_results,median_abs_r60_orderwin,median_abs_r60_routine,orderwin_share_positive,is_headline_setting
12,1840,1.3679347826086956,58,1.0506691218430379e-07,0.02310715921640417,0.017064486055633946,3.9649995100920563,0.0089296189256447,0.00552623453488002,0.6985294117647058,False
24,1614,1.5594795539033457,57,2.423408545016327e-07,0.025142466641633807,0.01670953568701683,4.072770909373086,0.009823553849764632,0.00548997675904396,0.6935483870967742,False
36,1583,1.5900189513581806,57,2.2135626509727106e-07,0.02577539567136637,0.01670953568701683,4.072770909373086,0.010029077191613084,0.005629802460360461,0.6752136752136753,True
48,1454,1.7310866574965613,57,8.246764317948152e-07,0.0259188548260239,0.01670953568701683,4.072770909373086,0.009360744265360613,0.00548997675904396,0.6607142857142857,False
72,1336,1.8839820359281436,57,8.848624441964418e-06,0.023899814331002637,0.01570436954716986,4.072770909373086,0.010029077191613084,0.00552623453488002,0.6542056074766355,False
