horizon_sessions,n_events,mean_drift,median_drift,continuation_rate,ci_low_blocked,ci_high_blocked,p_wilcoxon,significant_blocked,median_clean_peers,events_dropped_no_clean_peer
1,57,0.010424327280509313,0.005813192862772487,0.5789473684210527,0.0036004516933423715,0.01799589799753098,0.017331918405621417,True,3.0,0
3,57,0.014734775775042168,0.00590075522632702,0.6491228070175439,0.00341565185714322,0.0272396651974592,0.008846078582778921,True,3.0,0
5,57,0.014864550703067745,0.009924027965768134,0.6140350877192983,0.0033525306702015135,0.027285405047753338,0.023795710953614154,True,3.0,0
10,55,0.0197555689422241,0.01900806185840065,0.6727272727272727,0.004272079461196788,0.03606868829665685,0.023684554156558422,True,2.0,2
20,42,0.030195497427459618,0.028685695134594513,0.6190476190476191,0.0051444820235643455,0.056824518113605976,0.05041771051583055,True,2.0,15
