scope,measure,horizon_sessions,n_events,mean_drift,median_drift,sd,continuation_rate,n_continued,ci_low_blocked,ci_high_blocked,ci_low_naive,ci_high_naive,p_ttest,p_wilcoxon,p_sign_vs_50pct,min_detectable_effect,significant_blocked
HAL,peer_adjusted,1,11,-0.003264720338409388,-0.002836838846773243,0.016763807686856237,0.2727272727272727,3.0,-0.012896123723278368,0.005730961073777519,-0.012896123723278368,0.005730961073777519,0.5328809399401223,0.51953125,0.2265625,0.01416055139892756,False
HAL,peer_adjusted,3,11,0.001202555135653722,0.0013823202520443223,0.016864472188052336,0.7272727272727273,8.0,-0.008333992089076892,0.010324386992158624,-0.008333992089076892,0.010324386992158624,0.8178196816859508,0.5771484375,0.2265625,0.01424558368215713,False
HAL,peer_adjusted,5,11,0.011948265056290382,0.016351408049719407,0.02689716269101078,0.7272727272727273,8.0,-0.003083829789920094,0.02757261961705908,-0.003083829789920094,0.02757261961705908,0.1714330936307381,0.2783203125,0.2265625,0.02272029492858028,False
HAL,peer_adjusted,10,10,0.018383441670508822,0.005632048295091549,0.04287025561535936,0.5,5.0,-0.0060176100242036465,0.043333061088295696,-0.0060176100242036465,0.043333061088295696,0.20813069003043877,0.375,1.0,0.03798043288277226,False
HAL,peer_adjusted,20,10,-0.014528054472074614,0.014829176741640929,0.10388764559266682,0.6,6.0,-0.08086229814962301,0.03914495123451914,-0.08086229814962301,0.03914495123451914,0.668762254952804,0.845703125,0.75390625,0.09203812046709298,False
HDFCBANK,peer_adjusted,1,10,0.00890757424880339,0.011463904967474195,0.018106627745152495,0.7,7.0,-0.0016063628378349302,0.019090342984338732,-0.0016063628378349302,0.019090342984338732,0.15420620374500055,0.130859375,0.34375,0.016041368308560337,False
HDFCBANK,peer_adjusted,3,10,0.030324223166866515,0.01767236610535909,0.03845037361663584,0.9,9.0,0.010561712148024366,0.05564724406680732,0.010561712148024366,0.05564724406680732,0.034199195398523854,0.013671875,0.021484375,0.03406468689076217,True
HDFCBANK,peer_adjusted,5,10,0.029515298703011415,0.036184310625158644,0.03714732449046736,0.8,8.0,0.007306982241870696,0.05157032878369659,0.007306982241870696,0.05157032878369659,0.03317012022944732,0.02734375,0.109375,0.032910264805588826,True
HDFCBANK,peer_adjusted,10,10,0.03721617525812209,0.028693686014974004,0.036853575866969954,0.8,8.0,0.016884247286969592,0.0599996884520102,0.016884247286969592,0.0599996884520102,0.010946809812557483,0.009765625,0.109375,0.032650021433605,True
HDFCBANK,peer_adjusted,20,10,0.051289685426484065,0.061396219424825746,0.08195568119323704,0.8,8.0,0.002494806357659768,0.0988865903329112,0.002494806357659768,0.0988865903329112,0.07918396804275764,0.083984375,0.109375,0.0726077370951437,True
NYKAA,peer_adjusted,1,12,-0.001617341432519415,-0.005046221512172738,0.025079844299826258,0.3333333333333333,4.0,-0.01452590417916245,0.012692358729356439,-0.01452590417916245,0.012692358729356439,0.8273248981099931,0.67724609375,0.3876953125,0.02028327366493085,False
NYKAA,peer_adjusted,3,12,0.007322783012470406,-0.0002664377585209904,0.030863841620222904,0.5,6.0,-0.008359825552026445,0.02520739747819677,-0.008359825552026445,0.02520739747819677,0.42859152977468645,0.7333984375,1.0,0.024961069871490417,False
NYKAA,peer_adjusted,5,12,0.017118214758699835,0.01678642915639289,0.04164895734972207,0.6666666666666666,8.0,-0.0056639424491643905,0.03916082109134172,-0.0056639424491643905,0.03916082109134172,0.1822502225955087,0.20361328125,0.3876953125,0.03368351053875155,False
NYKAA,peer_adjusted,10,12,0.030859235949106,0.023627209612036446,0.05508492649836666,0.75,9.0,0.0018252310083791223,0.06122124559322988,0.0018252310083791223,0.06122124559322988,0.07835732428057361,0.09228515625,0.14599609375,0.044549823580312745,True
NYKAA,peer_adjusted,20,11,0.02712775777630918,0.013445373349796952,0.07158875896970793,0.5454545454545454,6.0,-0.013237406294971554,0.06697312906332711,-0.013237406294971554,0.06697312906332711,0.2373896345414184,0.3203125,1.0,0.06047172097845119,False
POOLED,peer_adjusted,1,57,0.006513942757553334,-0.0006479508979465864,0.02809279388897404,0.49122807017543857,28.0,-0.0003139925532987404,0.013972309438556483,-0.0003139925532987404,0.013972309438556483,0.08549186229274552,0.2226205509474053,1.0,0.010424646628959028,False
POOLED,peer_adjusted,3,57,0.010528870814224964,0.003803975912212265,0.045669018178708665,0.631578947368421,36.0,-0.0006726808172683426,0.022934647961895475,-0.0006726808172683426,0.022934647961895475,0.08724722091830277,0.06945016936019632,0.06273668035582848,0.016946814841061385,False
POOLED,peer_adjusted,5,57,0.0137341645507058,0.013093757863283484,0.048256658179384265,0.6140350877192983,35.0,0.0018270436303277984,0.026641040461642035,0.0018270436303277984,0.026641040461642035,0.03599369671593425,0.03490552060069009,0.11116111910399346,0.01790703377537641,True
POOLED,peer_adjusted,10,55,0.021105107765530106,0.017714809419341088,0.060336164164371486,0.6181818181818182,34.0,0.0063412945027291915,0.037560461929113026,0.0063412945027291915,0.037560461929113026,0.012182043696702085,0.016563120131708988,0.10478948242660333,0.022792931706812895,True
POOLED,peer_adjusted,20,54,0.017976210272429592,0.011890739637614084,0.08516751934661329,0.5740740740740741,31.0,-0.004700217750041392,0.04058271968647821,-0.004700217750041392,0.04058271968647821,0.12684520589419657,0.10458382722122417,0.3408909412200971,0.032469900308531675,False
RELIANCE,peer_adjusted,1,12,0.0019913756011612446,-0.0026950083036384326,0.016026589428123204,0.4166666666666667,5.0,-0.006677309059947474,0.01050859806661912,-0.006677309059947474,0.01050859806661912,0.6751948717920336,0.6220703125,0.7744140625,0.01296147198522929,False
RELIANCE,peer_adjusted,3,12,0.009481651973688297,0.00787583596965416,0.029612159573744013,0.6666666666666666,8.0,-0.006531088824951702,0.025614969715495126,-0.006531088824951702,0.025614969715495126,0.29101060666465733,0.38037109375,0.3876953125,0.023948774532384667,False
RELIANCE,peer_adjusted,5,12,0.0018613932236172432,-0.004635124957265702,0.03494881344056739,0.4166666666666667,5.0,-0.01736070515377124,0.020310654233799907,-0.01736070515377124,0.020310654233799907,0.8569786984839513,0.85009765625,0.7744140625,0.028264782620064058,False
RELIANCE,peer_adjusted,10,12,-0.012238982557290936,-0.004421807194637625,0.040262390370045816,0.4166666666666667,5.0,-0.035695325216660745,0.008084235918461209,-0.035695325216660745,0.008084235918461209,0.31491386165280255,0.4697265625,0.7744140625,0.03256212728105226,False
RELIANCE,peer_adjusted,20,12,-0.011997218984220669,-0.011903977478286004,0.07227147092201303,0.4166666666666667,5.0,-0.05190176048989034,0.027247029051307207,-0.05190176048989034,0.027247029051307207,0.5768313331827952,0.5693359375,0.7744140625,0.05844940683656627,False
RVNL,peer_adjusted,1,12,0.026136875699275627,0.01580390671971088,0.044641521318231445,0.75,9.0,0.004307477368972543,0.05213217377834451,0.004307477368972543,0.05213217377834451,0.06746220282677415,0.06396484375,0.14599609375,0.03610374063298334,True
RVNL,peer_adjusted,3,12,0.0068351732013385265,-0.008968162986732656,0.08276326417524792,0.4166666666666667,5.0,-0.03441613517107955,0.05501177180558653,-0.03441613517107955,0.05501177180558653,0.7801252606728168,1.0,0.7744140625,0.06693462354075101,False
RVNL,peer_adjusted,5,12,0.010709015079426442,-0.009207655758572353,0.081893873050445,0.5,6.0,-0.027819046806487346,0.06001661020771417,-0.027819046806487346,0.06001661020771417,0.6593605034307415,0.90966796875,1.0,0.06623150521611446,False
RVNL,peer_adjusted,10,11,0.03466742882873326,0.003029188094470725,0.09870858261404984,0.6363636363636364,7.0,-0.008702257641285852,0.09748800055159074,-0.008702257641285852,0.09748800055159074,0.27112196442942676,0.46484375,0.548828125,0.08338009977992461,False
RVNL,peer_adjusted,20,11,0.040787303403486415,0.005858418515221564,0.08891458365767278,0.5454545454545454,6.0,-0.0037894032446833936,0.09492178676886494,-0.0037894032446833936,0.09492178676886494,0.15912651126626057,0.3203125,1.0,0.07510701360442763,False
POOLED,peer_adjusted | initial reaction R0 (signed),0,57,-0.006707673448559791,0.0003333333389723414,0.032460657984471855,,,,,,,,,,,False
POOLED,peer_adjusted | initial reaction |R0|,-1,57,0.02581248932909234,0.02226570201439898,0.020525791080304147,,,,,,,,,,,False
HAL,raw,1,11,-0.008273679944456108,-0.009484435797665336,0.02059897279031763,0.2727272727272727,3.0,-0.019917133955714796,0.0031264287857223983,-0.019917133955714796,0.0031264287857223983,0.2123763590959838,0.240234375,0.2265625,0.01740015266287662,False
HAL,raw,3,11,-0.006308782922859898,-0.01653696498054469,0.035462493985649185,0.45454545454545453,5.0,-0.026789370933439825,0.013857709808789972,-0.026789370933439825,0.013857709808789972,0.5682639644383332,0.5771484375,1.0,0.029955513580108232,False
HAL,raw,5,11,-0.001212552650610417,-0.0015424599066071742,0.04220072252600713,0.45454545454545453,5.0,-0.024924062972655387,0.022957085356189517,-0.024924062972655387,0.022957085356189517,0.9259619018862388,0.8984375,1.0,0.03564736076458003,False
HAL,raw,10,10,0.0015981398629487443,-0.0027017391942039115,0.07080639593663163,0.5,5.0,-0.03866522645658891,0.04353930858945712,-0.03866522645658891,0.04353930858945712,0.9446607072955258,0.921875,1.0,0.06273015007586616,False
HAL,raw,20,10,-0.03137966436336868,0.02062197282542444,0.1497752832744743,0.6,6.0,-0.12453875184421309,0.04878845634428113,-0.12453875184421309,0.04878845634428113,0.5242309786661724,0.845703125,0.75390625,0.13269176990552664,False
HDFCBANK,raw,1,10,0.0016998077901257402,-0.0012439808918415785,0.01781229253059338,0.5,5.0,-0.008182751580481495,0.01260312361275797,-0.008182751580481495,0.01260312361275797,0.7696820943987286,0.845703125,1.0,0.015780605252657454,False
HDFCBANK,raw,3,10,0.005648138380148926,0.0026300671032112866,0.022387181482431816,0.6,6.0,-0.006914590495071327,0.01932353206046221,-0.006914590495071327,0.01932353206046221,0.44551309085208796,0.625,0.75390625,0.01983367795510207,False
HDFCBANK,raw,5,10,0.005883129760569194,0.003294493591729508,0.02750921487520831,0.6,6.0,-0.009041931149657642,0.022884488093338276,-0.009041931149657642,0.022884488093338276,0.5158605795181217,0.625,0.75390625,0.024371487275463767,False
